image_start,step_instruction,question,answer,response,acc
episode_11274/step_001.jpg,Click on the +49 photos to view more,"Is the option to view ""All Photos"" available on the new screen?",Yes,Yes,100.0
episode_2471/step_002.jpg,Scroll up,Are there any additional contacts listed in the after image that are not in the before image?,Yes,No,0.0
episode_15597/step_004.jpg,Click on the LOG IN button,Are there more options provided for signing in after the change?,Yes,Yes,100.0
episode_18335/step_001.jpg,Click on science,Is there new content related to science displayed on the screen after the action?,Yes,Yes,100.0
episode_7643/step_001.jpg,Click on the Read More option in the middle of the screen.,"Does the ""Read More"" button remain visible after the action is performed?",No,No,100.0
episode_904/step_003.jpg,Click on the first suggestion.,"After clicking on the first suggestion, is the user interface still primarily in dark mode?",No,No,100.0
episode_18306/step_002.jpg,Enter urban art in the searchbox,Does the search box now show suggested results related to 'Urban art'?,Yes,Yes,100.0
episode_904/step_003.jpg,Click on the first suggestion.,"After clicking on the first suggestion, is there still a prompt for ""Need a place to stay?"" visible?",Yes,No,0.0
episode_2582/step_000.jpg,Go back to the home page of the app.,Is the background color in the after state white?,No,Yes,0.0
episode_7643/step_001.jpg,Click on the Read More option in the middle of the screen.,Is there new information available regarding Vincent van Gogh's work after the action?,Yes,Yes,100.0
episode_7643/step_001.jpg,Click on the Read More option in the middle of the screen.,"After clicking the ""Read More"" option, does the text on the screen appear to be longer?",Yes,Yes,100.0
episode_11274/step_001.jpg,Click on the +49 photos to view more,"Did the screen show the ""+49 photos"" button after the action was performed?",No,No,100.0
episode_12885/step_002.jpg,Go back to the previous page,Are there more navigation options available on the previous page?,Yes,Yes,100.0
episode_904/step_003.jpg,Click on the first suggestion.,"After clicking on the first suggestion, is the keyboard still visible on the screen?",No,No,100.0
episode_575/step_003.jpg,Click on the cross at the top left corner of the screen.,"After clicking the cross, is the text ""Create an avatar of your pet!"" still visible?",No,No,100.0
episode_907/step_003.jpg,Click on the View All tab on the right side in the middle of the screen.,"After clicking on the ""View all"" tab, did the action result in displaying different categories, such as ""Utilities""?",Yes,No,0.0
episode_15778/step_000.jpg,Open the AccuWeather app,"Does the app display ""1Weather"" after opening the AccuWeather app?",No,No,100.0
episode_15597/step_004.jpg,Click on the LOG IN button,Does the background color change after clicking the LOG IN button?,Yes,Yes,100.0
episode_907/step_003.jpg,Click on the View All tab on the right side in the middle of the screen.,"After clicking on the ""View all"" tab, is the ""Pregnancy Diet Chart"" still present in the new screen?",Yes,Yes,100.0
episode_12885/step_002.jpg,Go back to the previous page,Is the title of the artwork still displayed after going back to the previous page?,Yes,No,0.0
episode_270/step_001.jpg,Open Euronews app,Is the Euronews app opened after the action?,Yes,Yes,100.0
episode_11274/step_001.jpg,Click on the +49 photos to view more,"Is the title of the page now ""Photos & Videos""?",Yes,Yes,100.0
episode_12885/step_002.jpg,Go back to the previous page,"After returning, can you see other artworks listed below the current artwork?",Yes,Yes,100.0
episode_11274/step_001.jpg,Click on the +49 photos to view more,Are there still 4 offers visible after the action?,Yes,Yes,100.0
episode_907/step_003.jpg,Click on the View All tab on the right side in the middle of the screen.,"After clicking on the ""View all"" tab, did the screen show ""Weight Tracker"" in the UI?",Yes,Yes,100.0
episode_907/step_003.jpg,Click on the View All tab on the right side in the middle of the screen.,"After clicking on the ""View all"" tab, did any items from the ""Baby Tools"" section appear?",Yes,No,0.0
episode_11274/step_001.jpg,Click on the +49 photos to view more,"Is the ""Select Room"" button still present on the new screen?",Yes,No,0.0
episode_575/step_003.jpg,Click on the cross at the top left corner of the screen.,"After the action, is the star rating for the app still visible?",No,No,100.0
episode_907/step_003.jpg,Click on the View All tab on the right side in the middle of the screen.,"After clicking on the ""View all"" tab, did the ""Tools for Pregnancy"" section remain unchanged?",No,No,100.0
episode_18306/step_002.jpg,Enter urban art in the searchbox,Did the action of searching change the overall layout of artist cards below the search box?,No,Yes,0.0
episode_15703/step_001.jpg,Click on the edit option,Is there a note about changing the date and time picker in the new screen?,Yes,No,0.0
episode_15703/step_001.jpg,Click on the edit option,Does the battery icon show a different charge level after editing?,No,No,100.0
episode_15476/step_002.jpg,"Type ""Germany"" in the search bar","Is the suggestion ""Berlin, Germany"" displayed after typing ""Germany""?",Yes,Yes,100.0
episode_15703/step_001.jpg,Click on the edit option,"Does the screen now display an option to ""Save"" changes?",Yes,Yes,100.0
episode_11274/step_001.jpg,Click on the +49 photos to view more,Did the time on the screen change from 11:50 to 11:51?,Yes,No,0.0
episode_3315/step_006.jpg,Click on the search icon at the bottom right corner of the keyboard.,Is the search icon visible at the bottom of the screen after clicking the search icon?,Yes,Yes,100.0
episode_18306/step_002.jpg,Enter urban art in the searchbox,Did the recent searches section disappear after entering the search term?,Yes,Yes,100.0
episode_1309/step_008.jpg,Swipe up,Is there a change in the time displayed at the top of the screen after the swipe up?,No,No,100.0
episode_270/step_001.jpg,Open Euronews app,"Does the user see a ""Live TV"" button after the action?",Yes,Yes,100.0
episode_2471/step_002.jpg,Scroll up,"Is contact ""K"" present in both images?",Yes,No,0.0
episode_12885/step_002.jpg,Go back to the previous page,Is the menu bar at the top of the screen missing after going back?,No,Yes,0.0
episode_3315/step_006.jpg,Click on the search icon at the bottom right corner of the keyboard.,Are there recipe results displayed on the screen after clicking the search icon?,Yes,Yes,100.0
episode_270/step_001.jpg,Open Euronews app,Are there any phone or messaging icons visible in the Euronews app interface?,No,No,100.0
episode_270/step_001.jpg,Open Euronews app,Does the screen show a list of news articles after opening the Euronews app?,Yes,Yes,100.0
episode_19939/step_002.jpg,Click on the search icon ,Does the overall layout of the screen change significantly after clicking the search icon?,Yes,Yes,100.0
episode_7884/step_002.jpg,Swipe up to view All time data.,Is the total time displayed in both images the same?,Yes,Yes,100.0
episode_2582/step_000.jpg,Go back to the home page of the app.,Is the app name displayed in the after state?,Yes,Yes,100.0
episode_1309/step_003.jpg,"Type ""Pablo Picasso"" in the search bar","Is the search bar now filled with the text ""Pablo Picasso""?",Yes,Yes,100.0
episode_270/step_001.jpg,Open Euronews app,Is there a change in the background of the screen after opening the Euronews app?,Yes,Yes,100.0
episode_6708/step_000.jpg,Click on the icon in the middle right of the screen.,Did the notification icon change to show no notifications after the action?,No,No,100.0
episode_6708/step_000.jpg,Click on the icon in the middle right of the screen.,"Is there a new section titled ""You May Also Like"" visible after the action?",Yes,No,0.0
episode_270/step_001.jpg,Open Euronews app,Is the Euronews app displayed as a small icon after opening it?,No,No,100.0
episode_13307/step_005.jpg,Scroll up on the screen to view the articles.,"Is the article ""India emerges as beacon of growth: ITC chairman"" still visible after scrolling up?",No,No,100.0
episode_19939/step_002.jpg,Click on the search icon ,Is the search bar visible after clicking the search icon?,Yes,Yes,100.0
episode_1309/step_008.jpg,Swipe up,Does the device show the artist's gender in the after state?,Yes,Yes,100.0
episode_904/step_003.jpg,Click on the first suggestion.,"After clicking on the first suggestion, is the search button still labeled ""Search Omio""?",Yes,No,0.0
episode_15703/step_001.jpg,Click on the edit option,"Is there an option to ""Add more time"" visible in the edited screen?",Yes,No,0.0
episode_15778/step_000.jpg,Open the AccuWeather app,Is the current location mentioned in the after image the same as in the before image?,Yes,No,0.0
episode_16668/step_000.jpg,Go back to previous page ,Does the UI show a different set of content than before the action?,Yes,Yes,100.0
episode_6708/step_000.jpg,Click on the icon in the middle right of the screen.,Is the model still wearing the same t-shirt in both images?,Yes,Yes,100.0
episode_3315/step_006.jpg,Click on the search icon at the bottom right corner of the keyboard.,Is the time displayed on the screen the same before and after the action?,No,Yes,0.0
episode_3315/step_006.jpg,Click on the search icon at the bottom right corner of the keyboard.,Is the action of typing in ingredients or dishes still visible after clicking the search icon?,No,No,100.0
episode_575/step_003.jpg,Click on the cross at the top left corner of the screen.,Is theInstall button still present after clicking the cross?,Yes,No,0.0
episode_7806/step_010.jpg,Swipe up to browse,Did the battery percentage change after the swipe up?,No,No,100.0
episode_15778/step_000.jpg,Open the AccuWeather app,Is there a notification about precipitation in the AccuWeather app?,Yes,No,0.0
episode_20055/step_008.jpg,Select circled T next to M for tuesday,Does the time for the alarm change after the selection?,No,No,100.0
episode_19939/step_002.jpg,Click on the search icon ,Are there more projects displayed after clicking the search icon?,Yes,No,0.0
episode_19939/step_002.jpg,Click on the search icon ,Is the main content updated to show search results after clicking the search icon?,Yes,No,0.0
episode_7806/step_010.jpg,Swipe up to browse,Did the time displayed on the device screen change after the swipe up?,No,No,100.0
episode_575/step_003.jpg,Click on the cross at the top left corner of the screen.,"Is the app name still ""Bing"" after the change?",Yes,No,0.0
episode_20055/step_008.jpg,Select circled T next to M for tuesday,Is Tuesday selected for the alarm in the after state?,Yes,Yes,100.0
episode_8730/step_000.jpg,Open the Calculator app,Does the after state show a history option on the calculator app?,Yes,Yes,100.0
episode_15778/step_000.jpg,Open the AccuWeather app,Is the temperature shown in the after state higher than in the before state?,Yes,No,0.0
episode_16668/step_000.jpg,Go back to previous page ,Is the battery icon visible in both images?,Yes,Yes,100.0
episode_20055/step_008.jpg,Select circled T next to M for tuesday,Is the vibrate option still enabled in the after state?,Yes,Yes,100.0
episode_6708/step_000.jpg,Click on the icon in the middle right of the screen.,Is there an additional offer displayed related to buying two items?,Yes,No,0.0
episode_11417/step_000.jpg,Go back to the previous page,Is the title of the main article visible after returning to the previous page?,Yes,Yes,100.0
episode_14269/step_001.jpg,Click on the yes option in the middle of the screen.,"Is the ""Creative Hub"" interface shown after clicking ""YES""?",Yes,No,0.0
episode_16668/step_000.jpg,Go back to previous page ,"Does the previous page contain images related to ""mandala art""?",Yes,No,0.0
episode_14269/step_001.jpg,Click on the yes option in the middle of the screen.,"Does the battery percentage show a change after clicking ""YES""?",No,No,100.0
episode_7806/step_010.jpg,Swipe up to browse,"Is the title of the section still ""MEN TSHIRTS"" after the swipe up?",Yes,Yes,100.0
episode_6714/step_005.jpg,Click on confirm,"Is the Date section still showing December 20, 2023, after clicking confirm?",No,No,100.0
episode_937/step_013.jpg,Add a title as Fav anime,"Has the option to ""Edit cover"" changed between the two images?",No,No,100.0
